Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,CERS3,NEIL3,KPNA2,HOXC13,USH1G,ATAD2,HOXA10,PRKCE,INMT,CLIC5,HECW2,BTBD11,TGFBR2,CACNA2D2,NKX1-2,CABYR,ADAMTS8,VEGFD,PREX2,PHACTR1,SLC6A4,SLC1A1,FOXF1,LIMCH1,ABCA8,UTRN,SCN7A,TMEM100,CLDN18,TSKU,GPD1L,CITED2,PTPRM,RECK,ADH1B,SLC7A11,OGN,SLIT3,LRRK2,DSC1,STXBP5L,OGDHL,NR0B1,KPRP,PAX3,DDAH1,KCNQ5,SALL1,SLC6A11,PEBP4,LEFTY2,LRP8,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,DIRAS2,CRTAC1,JAKMIP3,CBR3,SERTM1,PRDM16,SLC47A2,SHISA9,CAPN3,NECAB2,FRRS1L,RUNDC3A,F2RL2,POPDC3,CHP2,PTPRN2,LRP1B,IGSF10,SELE,ABCC2,SLC38A11,SYNDIG1,ABCA4,PROK2,GREM2,HOXA9,SYT2,AGTR2,NTRK3,CHGA,ELAVL2,FLG,CCNA1,PRB4,CLDN8,CCDC190,DEFA5,OBP2B
TCGA-66-2793-01,2900,2608,1569,577,1838,271,14265,338,393,4182,565,948,47,133,222,556,1564,381,0,207,19,23,96,137,2082,130,115,796,26,4738,117,12,46,3162,1024,1556,1153,130,110,140,13,248,390,28,97,367,21,4,16,1237,271,416,429,34,39,1054,2011,1138,448,2131,1054,54,242,105,17,18,41,19,107,130,15,156,94,21,36,1674,509,35,255,16,34,1,31,10,1,5,471,127,30,28,138,8,14,115,4,4,64,9,0
TCGA-66-2794-01,2983,3014,1813,1541,917,456,10916,123,313,5596,318,639,233,282,210,2387,2326,100,19,1020,88,38,53,86,80,744,369,317,172,1872,43,64,232,4469,2406,1550,400,325,509,17491,103,186,761,7,23,556,593,22,1,491,744,0,2,57,1,797,412,370,346,3009,383,79,80,349,548,1,15,35,1525,43,44,83,78,376,8,286,269,162,70,145,34,7,152,28,1,13,16,567,31,18,148,3,24,94,290,30,159,0,0
TCGA-66-2800-01,3941,1679,1190,1737,471,163,11451,212,468,2792,356,563,1119,1085,242,1497,4679,1151,31,672,189,216,170,306,77,396,409,3174,211,3696,328,98,3333,7024,1392,2992,1223,902,1084,3832,44,837,4910,32,464,76,642,60,27,1713,134,23,21,1324,19,1707,506,3193,978,11552,610,242,2271,259,211,129,225,113,902,58,336,499,57,560,447,95,294,32,322,145,211,11,280,40,92,136,18,34,569,30,66,0,34,760,0,333,17,0,0
TCGA-68-7755-01,4726,2944,1526,3126,1536,342,22884,523,1038,3946,440,526,240,146,750,3729,2797,422,134,1714,54,25,154,92,144,206,499,2240,26,11548,21,10,19,13455,1657,1443,2057,687,0,18480,269,1271,228,17,327,153,2734,1709,1,695,712,510,709,2,2,3112,1156,549,1214,3622,1401,145,33,1318,1355,107,165,220,54,17,1205,137,153,3192,694,13,82,10,570,256,231,3495,239,70,2,140,55,46,5,6,714,2,415,1136,3,4422,17,0,1
TCGA-68-7756-01,3509,3227,1489,3822,1529,191,11407,27,58,3678,267,860,293,1012,554,2183,6401,884,2295,1128,42,61,176,219,45,684,304,3783,134,7795,208,48,442,19881,2032,2083,1250,411,203,20062,180,1002,6978,11,28,50,1176,347,0,2110,474,448,176,707,10,5910,757,980,1996,17945,1760,205,3085,348,430,10,399,238,17,203,728,6,56,94,1867,876,169,28,428,11,197,11,315,207,5,28,18,204,649,17,37,23,162,3864,0,21,549,0,1
TCGA-68-7757-01,825,615,153,812,1509,46,4270,143,613,949,398,760,100,62,228,919,6181,76,95,160,3,2,94,96,4,549,309,433,53,2526,30,69,11,6362,1273,1021,1221,306,7,203,51,819,196,27,112,147,0,0,0,363,96,71,0,14,2,184,11,1481,967,2884,432,2,90,21,55,3,43,100,58,89,32,29,157,230,8,169,104,23,198,100,7,6,440,456,14,121,20,540,19,14,97,7,17,60,0,10,98,0,1
TCGA-68-8250-01,2766,2684,567,557,710,138,8619,6,74,3059,327,1162,974,1874,610,428,7227,1247,150,239,311,290,345,222,60,1537,336,5471,327,4274,294,188,3177,2392,4035,4899,1392,374,1236,900,219,1654,3275,1,9,21,0,2,32,1909,44,0,1,1040,19,778,4,853,2403,12191,678,168,1611,199,61,7,157,38,12,115,15,69,20,16,30,21,232,3,920,43,28,2,43,71,15,35,6,243,572,57,4,144,18,26,0,79,2748,0,0
TCGA-68-8251-01,4212,2543,1330,1358,53,283,15956,68,26,4309,533,1439,79,114,507,256,3425,83,36,271,65,14,99,107,12,160,283,572,116,2677,145,37,52,4391,1300,11425,2526,457,80,444,103,1229,271,19,18,225,19,6,12,720,987,6,9,23,5,1821,305,2981,1429,1947,469,0,203,55,54,0,19,24,2,124,8,7,52,24,223,0,112,42,3314,39,23,8,699,37,12,25,45,43,68,23,3,82,6,395,0,1,28,0,0
TCGA-68-A59I-01,1021,1518,313,1562,525,50,3903,218,172,2168,484,1513,254,163,512,512,7455,250,173,206,230,28,276,115,28,389,788,478,824,3408,328,131,8,3501,1397,3775,943,411,1239,373,424,891,485,4,705,544,1,1,78,1996,148,34,11,9,28,514,61,791,3316,13393,441,15,135,93,87,406,128,30,11,149,21,31,52,161,7,236,229,156,131,947,83,32,209,43,18,62,24,125,6,139,48,17,11,136,147,144,773,0,1
TCGA-68-A59J-01,4930,1689,1174,7416,4033,296,12701,364,297,3500,326,913,452,824,928,2291,4029,664,14,567,83,111,188,389,33,321,2584,3484,185,5647,179,374,1053,7893,1461,3270,2374,787,528,32291,62,768,5306,31,107,94,61,188,476,1273,107,198,645,1695,9,5344,716,843,925,10143,336,101,706,1962,937,23,873,515,1798,356,180,452,68,2209,323,165,348,317,164,73,227,7313,129,97,6,13,14,115,232,32,517,4,1101,3840,0,16,795,0,0
TCGA-6A-AB49-01,5010,2940,1151,147,45,296,12899,163,3,5309,412,477,4,47,141,950,4734,99,13,383,10,8,14,112,2,484,64,58,0,1095,7,1578,15,5496,600,2137,2806,302,2,1767,3,11,97,3,7,850,0,0,0,517,97,2,0,19,41,1568,593,913,524,10708,509,0,65,74,118,8,13,199,1,185,9,48,207,14,761,2,24,0,248,6,349,0,0,32,2,1,45,20,1,2,1,0,44,888,0,4,5,19,2
TCGA-70-6722-01,7994,5162,630,677,52,155,18754,1,70,7027,28,1217,431,637,1078,2153,11324,537,118,88,82,27,301,210,6,891,496,1716,332,8855,307,74,509,16335,1780,2938,2360,659,134,700,37,1113,3215,9,11,51,0,1,1,4486,529,5,238,369,25,2902,23,2323,9686,24005,2143,5,2447,5,213,0,149,45,2,50,21,5,41,69,88,1,195,7,57,786,20,3,190,70,6,48,1,42,53,35,11,91,155,99,0,216,4,0,2
TCGA-70-6723-01,8608,4853,2422,2157,3599,1721,20332,369,835,9553,290,1348,72,89,1185,3627,1795,277,929,12986,23,114,100,59,79,57,939,1684,4,10757,7,3,41,26158,2431,646,347,477,2,10117,7,1380,46,52,796,954,995,124,83,2665,1472,53,114,6,128,4442,3659,40,319,6148,412,238,52,4138,899,181,2188,3223,5,249,2251,1337,57,4098,933,541,717,25,1825,73,200,238,581,12450,1,3,186,24,5,4,911,4,244,7751,0,525,11854,0,1
TCGA-77-6842-01,2802,3017,646,72,55,416,12750,19,11,5828,177,350,206,521,815,361,3852,273,0,580,28,41,185,234,8,611,249,5363,170,4589,374,14,491,3146,802,2908,3824,339,364,479,44,258,997,13,19,35,5,1,0,1716,950,0,7,119,1,2080,275,1666,601,6806,424,1,418,55,68,2,1440,12,0,101,4,2,17,34,23,0,396,74,2274,159,31,22,45,29,81,4,25,41,27,13,6,0,20,5,2,9,440,0,0
TCGA-77-6843-01,2861,1199,520,866,375,201,7097,751,537,1816,297,1121,332,125,403,8769,2083,256,5,2713,17,55,235,213,87,90,137,1260,31,9718,18,36,99,14386,1110,981,1127,261,34,15873,4,2315,317,11,729,563,3133,14,133,605,574,1356,183,31,2,6536,179,318,1061,4468,262,462,146,1514,1020,66,47,267,4140,91,259,373,613,10626,580,160,42,193,138,248,16659,8946,30,52,4,0,254,113,8,380,1388,8,101,677,0,21,2,0,1
TCGA-77-6844-01,3495,6669,516,6941,4609,709,12304,204,1370,6463,130,1464,639,401,885,2973,3847,591,4,411,123,37,224,115,61,758,323,919,1279,5439,180,296,595,7909,1430,2645,2418,277,3311,705,848,1224,1836,61,486,471,0,24,41,909,785,1,213,359,23,790,43,427,1060,4223,480,10,448,95,143,3,205,34,41,218,4,3,24,19,6,69,322,10,2413,83,42,11,27,2976,9,25,115,3667,72,110,3,1,91,6,6,1912,4667,0,0
TCGA-77-6845-01,4959,4409,1227,3762,1976,179,17345,356,269,3647,336,1644,222,146,468,2279,3035,393,683,6821,25,49,102,309,199,334,350,4461,57,4945,120,101,266,23012,1368,2327,2076,414,162,14441,10,216,741,13,581,893,35,3,5,2638,602,0,77,166,23,5027,3,448,353,5611,217,292,583,1719,1033,270,100,87,49,105,2709,339,90,16,403,190,62,11,645,118,19541,4,115,191,1,5,23,82,115,11,408,8,228,2251,3,4254,1,0,0
