Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-52-7811-01,14669,936,44884,19314,40,628,22,458,305,25,24380,3242,26,22,54,0,0,3,3,0,2
TCGA-52-7812-01,14546,32,1328,47900,166,7,1,120,927,13,90384,1965,40,6,45,0,0,8,0,0,3
TCGA-56-1622-01,5014,333,31091,50556,88,113,11,10,188,53,66450,241,32,0,251,0,0,0,0,1,0
TCGA-56-5897-01,8222,205,18571,13394,18,123,15,81,47,7,22497,524,64,2,161,0,0,0,0,0,0
TCGA-56-5898-01,9268,282,44514,27532,97,47,6,70,475,13,53113,1440,47,1,85,0,0,0,1,0,0
TCGA-56-6545-01,1114,169,30248,20786,14,68,4,34,226,2,43372,468,47,0,23,1,0,1,0,0,0
TCGA-56-6546-01,1694,246,7473,95386,105,12,0,295,761,4,106802,1472,29,0,25,1,5,331,0,0,27
TCGA-56-7221-01,15307,513,93393,96925,267,19,33,561,576,17,194682,2185,11,0,47,0,1,1,9,1,0
TCGA-56-7222-01,12364,1066,72814,114507,190,416,93,61,346,39,167404,2542,14,0,56,0,3,0,7,0,0
TCGA-56-7223-01,13240,22,8466,121492,236,122,0,94,82,41,161189,2405,48,5,70,0,142,0,1,0,1
TCGA-56-7579-01,8242,7257,199597,100439,303,93,21,216,110,66,167790,2259,31,5,31,4,0,0,0,0,1
TCGA-56-7582-01,7204,1102,55978,52168,129,63,21,79,180,4,91682,549,13,1,23,1,0,1,0,0,0
TCGA-56-7822-01,11295,536,81841,14487,35,578,79,262,80,5,23643,1168,9,17,48,0,1,0,0,0,0
TCGA-56-8201-01,2559,187,22845,11650,28,52,8,41,124,49,17299,1364,34,2,24,0,1,0,0,0,0
TCGA-56-8304-01,14941,524,43449,36534,72,292,33,90,922,26,38290,851,6,5,31,0,0,0,0,0,0
TCGA-56-8305-01,28090,1739,91716,62852,155,6,23,121,346,34,124674,1661,28,6,50,1,1,15,0,0,25
TCGA-56-8307-01,3596,601,95011,264963,497,1,8,58,112,38,460743,1021,26,0,67,0,14,1,1,0,1
TCGA-56-8308-01,1925,196,18517,19492,25,17,3,47,318,7,26446,218,2,0,16,2,0,0,0,0,0
TCGA-56-8309-01,2917,38,19690,19813,45,10,2,44,124,2,47001,654,9,9,12,1,0,0,0,0,0
TCGA-56-8503-01,4961,218,32022,14870,14,170,16,83,81,6,19805,2171,33,1,36,0,0,2,0,0,1
TCGA-56-8504-01,7688,789,33130,39641,28,53,36,58,602,22,35041,1095,22,0,20,0,0,0,0,0,0
TCGA-56-8622-01,6825,178,97116,29636,60,85,15,105,111,5,58654,1243,2,2,19,1,0,0,3,0,0
TCGA-56-8623-01,202,4,1331,9762,3,6,1,852,1389,3,21801,6118,4,0,12,1,0,0,0,0,0
TCGA-56-8624-01,4816,431,45369,10979,44,306,21,410,280,2,32365,2014,5,5,15,0,0,1,6,0,0
TCGA-56-8625-01,24845,223,7211,39823,76,51,6,136,115,32,59553,1736,62,1,55,0,0,0,0,3,2
TCGA-56-8626-01,8048,227,97332,30135,95,379,29,227,1820,8,57531,3242,23,35,33,2,1,1,1,0,20
TCGA-56-8628-01,6979,600,60803,79945,120,86,16,161,537,42,138713,3613,17,0,65,4,0,1,17,0,1
TCGA-56-8629-01,8641,1472,54493,52747,85,79,63,70,300,17,71669,1675,38,116,51,1,0,2,0,0,6
TCGA-56-A4BW-01,3995,335,52629,12261,27,42,33,44,150,11,30236,1670,10,37,14,0,0,0,0,0,0
TCGA-56-A4BX-01,14291,1023,59100,78236,220,17,17,132,203,21,162688,593,15,1,35,0,0,0,0,0,0
TCGA-56-A4BY-01,20565,1092,96002,95526,218,218,57,967,1515,18,182803,2803,35,9,50,3,2,1,0,0,0
TCGA-56-A4ZJ-01,4582,1299,31546,21482,109,306,1,449,734,6,68297,7372,74,10,52,1,0,0,2,0,0
TCGA-56-A4ZK-01,20711,330,77094,40234,92,92,30,129,175,9,75573,1407,29,3,26,0,0,0,0,0,0
