Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,ATAD2,HOXA10,WWC2,PRKCE,CKS1B,HECW2,TGFBR2,RIMS2,PREX2,SLC1A1,LIMCH1,GGH,UTRN,TMEM100,TSKU,GPD1L,CITED2,PTPRM,LEPR,GIMAP6,TFR2,RECK,MAGEA10,ELOVL4,GATA6,SLC7A11,LRRK2,CSAG1,SLC19A3,MSR1,GRM4,MAGEA12,ARHGAP29,PAX3,GRIP1,C2,DDAH1,CPB2,KCNQ5,GMFG,LEFTY2,ITM2A,TBX18,ENPP4,BEND6,AKAP12,NR3C2,LST1,ANXA3,LPCAT1,ULBP2,PGC,COX7B2,VTN,SERTM1,PRDM16,TLR8,POPDC3,PAH,VWDE,SELE,GREB1L,ADAMDEC1,SYNDIG1,PROK2,GTSF1,GREM2,RND2,SLC22A3,HOXA9,AHSG,SLC38A4,RBP4,GLDC,ELAVL2,MAEL,SERPIND1,F2,TM4SF5
TCGA-85-A4CL-01,4530,2453,1353,9247,80,2059,355,199,543,2035,381,1198,420,51,69,764,1624,1462,8,6941,698,409,642,335,498,161,500,1,325,340,1822,421,0,24,695,17,1,194,16,506,1308,250,13,133,1291,1,674,562,250,75,327,63,872,3818,2916,32,5,0,17,16,213,188,852,80,465,220,33,664,356,0,11,20,440,148,15,66,124,164,58,1,3,5,0,1
TCGA-85-A4CN-01,3024,1535,825,10805,281,2122,351,475,290,1894,372,1581,200,78,61,568,1246,5516,7,6252,799,622,693,214,281,201,468,87,281,41,5010,247,0,7,172,8,0,165,1,67,522,295,0,391,409,0,204,380,267,133,493,81,192,421,3691,490,1,0,4,0,23,39,327,1,1028,40,8,156,458,1,95,19,272,6,12,75,64,15,54,1,12,6,0,0
TCGA-85-A4JB-01,2886,2295,601,6515,473,5135,448,622,654,1373,191,2839,1212,302,65,581,4199,2849,9,4811,935,1844,582,348,127,164,306,3228,970,86,432,103,1405,31,179,1849,2080,1117,2,773,290,2488,6,267,416,6,4844,249,825,169,1109,176,154,1375,7697,503,0,266,1,3,58,26,59,0,39,371,29,106,227,121,1050,47,502,130,150,9,92,4,76,5,2,2,2,2
TCGA-85-A4JC-01,2256,955,232,5821,263,1642,95,473,459,1162,161,2169,498,63,75,1041,2229,585,27,6746,490,694,883,253,255,182,208,2578,178,96,189,114,1,117,397,113,1,419,4,237,277,396,26,22,800,2,180,208,278,88,478,58,706,2327,4383,650,0,0,5,1,18,49,50,0,266,175,7,138,135,19,1175,33,433,241,5,14,24,29,65,2,2,5,1,0
TCGA-85-A4PA-01,2513,2167,578,5342,4,2193,8,556,864,755,397,7590,6,262,572,1188,339,4167,108,433,1246,2610,2145,729,2271,152,722,0,40,254,166,2490,21,183,523,20,5,1170,0,135,673,495,98,392,5619,6,2560,37,701,58,1022,418,1459,564,9927,11,4415,0,111,53,206,211,18,4,58,1496,15,1436,151,4,198,32,24,1115,12,0,9,86,73,4,19,40,2,0
TCGA-85-A4QQ-01,3257,1972,645,6806,2495,6643,303,205,704,2118,170,2473,1827,60,108,1679,5567,276,4,7585,578,2364,2041,764,81,31,131,3,1374,97,228,102,1,6,254,457,0,1870,1,876,244,388,11,32,204,2,92,29,250,94,782,23,335,800,9917,1470,9,1,4,0,18,45,22,1,29,141,7,112,291,1,29,3,14,2381,25,7,26,16,18,11,0,0,0,0
TCGA-85-A4QR-01,4375,1695,738,14936,266,4339,359,357,744,1658,281,622,523,526,651,58,2720,1057,18,4925,1946,1621,137,55,21,1084,28,63,552,36,647,639,63,153,25,80,87,1863,11,54,526,548,4,21,64,9,72,376,221,122,195,140,31,439,3390,48,464,0,5,2,21,3,7,4,119,20,6,11,6,0,4159,1,806,48,94,7,23,244,4,59,0,24,2,0
TCGA-85-A50M-01,1668,2175,557,4855,3,2273,25,2084,732,1205,865,11083,1441,217,921,2324,1868,7186,29,4749,1381,6765,4636,2940,188,88,642,0,208,1220,696,2491,10,92,332,74,5,4285,0,549,266,6556,13,887,411,2,340,806,827,802,1481,650,212,7228,14514,720,207,1,4,2,77,62,156,0,3097,210,1363,110,68,178,9,17,185,2170,6,5,544,157,12,36,0,93,2,0
TCGA-85-A50Z-01,5007,3734,1071,10588,150,2514,222,315,505,1446,609,2137,81,53,281,893,4173,1193,128,12347,939,1128,353,609,318,200,72,1,410,318,1474,922,3,504,134,55,4,396,0,88,329,2157,5,44,722,2,331,2,283,131,295,467,454,556,17275,201,142,147,4,202,68,93,0,0,5,19,5,234,6,118,3,4,32,414,6,0,940,4,1597,3,3,129,0,0
TCGA-85-A510-01,4042,3176,1865,6966,19,4920,4,485,368,1738,968,2530,147,244,188,3820,2354,1973,454,880,506,1826,2338,473,489,9,217,2,57,261,553,1814,1512,27,856,125,1724,2960,24,76,602,2061,21,380,849,32,955,285,918,52,806,93,359,676,19592,10,148,0,11,1052,54,110,296,559,564,584,310,563,344,20,168,23,88,176,6,0,34,17,712,6,1,302,0,0
