Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,GJB6,CERS3,KPNA2,HOXC13,ATAD2,HOXA10,RHOV,PRKCE,ALDH3B2,TMPRSS11E,SERPINB13,PGLYRP3,HECW2,FAM83C,C10orf99,TGFBR2,A2ML1,TMEM79,PREX2,SPRR2D,IVL,IL36RN,TMPRSS11A,GSDMC,IL36G,SLC1A1,LIMCH1,CNFN,GRHL1,UTRN,TMPRSS11D,TMEM100,SPRR1A,TSKU,GPD1L,CITED2,S100A7A,PTPRM,CLCA4,RECK,AMTN,SPRR2E,SLC7A11,BDH1,LRRK2,FST,NCCRP1,SPRR2G,KRTDAP,ZNF750,FAM84A,MGLL,SUSD4,RPTN,SERPINB3,PAX3,DDAH1,KCNQ5,HOPX,LEFTY2,TBX18,SPRR2F,ENPP4,DUOX1,SERPINB2,AKAP12,LPCAT1,ULBP2,POF1B,SERTM1,PRDM16,SELE,SCGB3A1,PROK2,GREM2,HOXA9,ELAVL2
TCGA-43-A56U-01,1245,1041,421,1104,4854,1056,2196,114,2111,61,7110,583,4770,388,5868,568,338,788,142,4218,3954,2708,207,6801,5614,2479,366,3464,1977,286,1280,879,2900,3320,968,141,2237,1043,1090,3325,4545,1463,57,377,89,1242,254,2784,633,260,398,294,5266,2088,4207,3005,1237,3,2835,0,843,88,779,6,53,230,953,4915,350,1585,3699,576,459,6,171,570,1271,30,67,12,5
TCGA-46-3765-01,2608,1441,652,1247,7822,1739,10534,380,1838,380,2821,480,990,1414,25865,606,343,329,75,3361,766,593,89,2284,1143,2017,1375,512,438,234,1574,219,2542,2201,239,95,2190,4711,1047,1226,11,855,293,545,18,603,5889,1525,2387,5573,130,35,79,1237,2124,5206,2281,265,2873,6,1583,99,5441,6,318,121,1297,1522,4237,814,4433,734,1381,4,48,21,145,15,2,17,2
TCGA-46-3766-01,614,569,150,117,1412,1233,2367,81,1034,104,993,500,394,200,1262,23,628,144,11,8931,84,580,306,125,242,2,163,332,14,528,2388,58,432,3290,846,641,40,2444,1603,2616,248,1472,585,682,12,67,161,276,4477,1015,299,13,43,234,1326,4019,509,1,1242,2,1355,124,3952,10,50,12,1278,1702,34,2077,7706,395,749,20,165,311,427,5,38,18,8
TCGA-46-3767-01,1405,1297,300,479,1224,1143,3500,467,1975,236,1972,590,1408,895,3976,89,1138,309,388,8698,5133,800,440,1107,1353,189,813,577,487,249,3551,76,961,4917,1364,288,168,3642,1339,1767,129,2170,436,968,232,177,262,440,2683,1424,324,53,17,616,2586,4043,1007,10,1943,11,1231,173,4968,99,279,41,1225,2634,671,2601,7505,621,743,9,215,660,384,23,62,38,28
TCGA-46-3768-01,5540,5975,2046,1306,4597,48,22183,289,7147,646,972,1006,2154,1644,249,10,331,15,12,3290,150,1037,87,75,20,61,86,299,26,271,3027,193,2656,4859,134,173,112,9220,1734,1042,14,586,16,2169,21,104,13146,4337,1928,276,48,5,19,1799,8203,1532,2302,0,24,2,1392,77,2666,3,556,43,3370,2517,28,520,6429,282,2465,49,64,52,69,8,5,16,1
TCGA-46-3769-01,4921,2598,798,79,1307,61,5128,23,3333,645,287,1338,4468,528,141,9,301,27,13,8266,72,659,57,219,229,869,141,539,60,80,4914,82,1078,2232,385,106,163,13090,292,5413,33,1546,8,442,39,216,4550,1766,218,182,1627,9,33,85,221,6279,120,3,121,0,2764,41,1294,4,881,62,346,463,160,2196,15257,2952,47,6,16,33,22,15,15,24,1
TCGA-46-6025-01,6625,2752,1090,909,17408,2190,27201,104,3691,424,1874,830,1266,181,3715,140,604,24,294,15622,672,1914,76,289,1326,115,152,1512,99,175,2736,184,1283,3122,27,62,2638,23722,1071,3120,5,722,151,681,41,39,23896,2275,1135,5059,24,12,20,1081,5263,917,334,31,113,6,499,988,2035,1,343,19,163,4196,267,542,11076,275,668,6,3335,11,49,2,19,60,6
TCGA-46-6026-01,4201,9092,1623,4827,858,4530,12200,780,4359,276,4081,568,6052,178,8406,1571,1148,774,214,2689,10504,2735,122,4002,2316,1745,639,193,24,272,1561,2726,6622,3844,29,661,2998,4081,742,5858,610,2252,26,124,2,1121,1101,7755,657,8998,1205,1559,11579,3307,12771,2011,2259,781,1736,3556,2099,5689,3090,29,2413,78,790,7054,4881,854,5406,1206,8744,0,81,63,6763,76,29,433,3
TCGA-51-4079-01,3246,1629,1992,2262,11198,2003,14043,121,3192,223,2425,573,1343,1993,8400,1243,368,389,533,2285,1339,2302,78,10055,5281,764,608,1983,2356,455,2865,1055,2672,3343,4023,80,20109,5471,1196,3020,165,729,310,488,40,6871,12890,1457,2927,6944,1568,241,325,3363,3567,2000,774,1093,1328,14,947,299,4177,3,16,1965,617,2807,1924,749,6044,820,1692,41,130,306,463,14,24,4,5
TCGA-51-4080-01,3836,2150,1461,1440,7663,4219,16575,575,4987,570,3252,496,4038,1592,19113,547,428,1693,657,1463,1712,1611,107,6481,1823,546,2084,1561,280,61,766,219,11930,5622,4200,208,2036,6111,1252,886,76,527,217,420,12,1480,22623,3954,1185,9586,948,615,1285,3092,8419,978,5235,640,480,73,863,33,3194,6,1664,169,1678,2514,3722,388,2424,328,1905,255,289,49,58,3,400,13,22
