Unnamed: 0,CCNB1,ZWINT,PITX1,PBK,GJB3,KPNA2,HOXC13,LYPD3,ATAD2,HOXA10,GJB2,RHCG,PRKCE,KRT6C,SPRR1B,HECW2,TGFBR2,IL20RB,S100A7,PREX2,SPRR2D,SLC1A1,LIMCH1,LY6D,UTRN,TMEM100,SPRR2A,TSKU,GPD1L,CITED2,PTPRM,SPRR3,SBSN,BNC1,RECK,SLC7A11,PROM2,LRRK2,DSC2,CSTA,PAX3,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,FGFBP1,SERTM1,PRDM16,SELE,TMEM45A,PROK2,GREM2,HOXA9,FABP4,ELAVL2,KRT1
TCGA-63-A5MV-01,884,1340,3773,171,1212,4857,10,2203,1606,217,8130,2554,683,6213,3538,769,4750,603,272,200,1177,1494,1713,242,2413,104,3094,4183,1345,1650,1674,7661,421,2097,664,1331,3989,583,6768,6721,56,1486,216,18,855,833,3338,6748,505,2123,80,11,27,1151,40,50,385,1120,7,281
TCGA-63-A5MW-01,2571,3031,422,926,326,7679,694,450,7782,1895,3342,166,819,21,65,359,4748,144,56,867,108,257,1089,20,6209,22,25,12506,858,1215,2953,53,11,243,732,1357,2572,320,1393,2110,777,940,1371,0,364,761,2333,21892,309,312,2,50,118,6359,186,29,884,213,5,3
TCGA-63-A5MY-01,3818,4300,20773,916,985,10835,24,3367,2007,51,24290,2796,531,8722,1718,193,990,223,141,24,52,116,78,4,803,9,1672,2487,6549,3144,131,6091,93,459,47,5700,754,385,7972,35581,517,779,15,48,13,50,82,9863,14,2551,0,11,20,396,12,1,9,6,3,9
TCGA-66-2727-01,11347,4901,1675,1426,889,22527,21,1967,6703,404,2747,63,620,1061,775,238,3651,146,112,78,293,438,2126,30,4140,110,465,15361,2408,3040,839,920,102,1474,446,15219,7399,3087,8687,7078,8,982,535,28,524,708,483,9994,878,12223,180,130,38,2940,22,23,31,29,3,33
TCGA-66-2734-01,5073,3598,8233,585,5364,14753,128,13967,4205,252,50801,15668,965,5905,14176,723,8987,2551,3209,225,13577,905,1603,324,3705,126,21748,8936,1261,2919,1132,15359,89,7073,490,444,15939,4556,16732,9592,0,1027,392,1,445,973,2298,12654,1594,1114,2,100,131,11944,436,32,21,65,2,14
TCGA-66-2737-01,4661,1689,5865,1064,562,9598,212,4942,3821,254,15054,1147,620,3994,1856,566,6006,3379,234,168,405,272,3151,2736,4472,78,2018,19235,1246,1411,1731,2096,255,2627,1090,5368,9099,643,4133,2491,0,783,330,30,827,731,1226,5366,192,3262,52,235,47,3042,2,46,22,1161,29,364
TCGA-66-2742-01,2883,1738,1325,1013,3015,9445,39,4602,4310,230,16483,337,867,1344,5806,544,5290,2533,354,139,810,494,892,60,2161,108,4237,10108,1652,2183,1024,2346,20,1162,324,1190,4200,2508,4483,1932,170,680,328,10,772,1843,1502,6017,610,3260,220,53,109,10889,40,26,11,131,1,4
TCGA-66-2744-01,6053,2340,746,579,1622,10099,530,507,3870,134,3603,55,640,6,29,501,11216,31,27,220,9,585,2391,3,3306,296,11,16751,1193,2714,1713,20,10,1365,368,279,261,6801,1736,1291,22,1534,352,8,614,802,5804,16810,1088,2959,11,259,158,1652,38,28,77,507,120,29
TCGA-66-2754-01,10297,4574,2124,3952,7,28287,10,66,5748,378,76,5,178,2,4,241,1298,59,4,88,5,72,1209,4,3222,111,4,3701,833,1278,850,9,2,5,150,2093,1019,646,1628,95,1,6918,19,2,887,3145,579,3494,113,15,10,26,13,335,6,13,37,63,0,1
TCGA-66-2755-01,4639,4097,1350,984,3636,15701,33,1188,4217,107,728,392,190,104,513,983,3383,143,2206,220,249,1478,3386,8851,2727,8,88,7168,633,3105,1144,89,345,1126,266,2101,1657,489,5667,78559,40,669,132,16,23,685,740,6763,584,399,0,29,8436,2706,75,55,30,26,53,78
