Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-891a,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-LA-A446-01,10493,59795,63359,251,1,1152,13,140164,5074,10,195,4,0,0,0,0,0,0
TCGA-LA-A7SW-01,3452,154411,36671,75,374,512,27,35075,3241,139,65,58,0,0,5,0,2,1
TCGA-MF-A522-01,4501,103185,42789,187,230,57,10,94050,1562,27,2,1,0,0,0,0,1,0
TCGA-NC-A5HD-01,20619,239907,58344,201,50,92,88,111304,2490,45,0,4,2,0,0,0,0,0
TCGA-NC-A5HE-01,3513,57808,78465,283,36,367,8,221107,1706,21,11,24,0,1,0,0,0,0
TCGA-NC-A5HF-01,21529,103829,98600,237,13,217,9,225494,1998,29,52,136,0,0,3,0,0,0
TCGA-NC-A5HG-01,9495,111232,43656,240,180,181,29,124218,1518,19,1,1,0,0,0,0,0,0
TCGA-NC-A5HH-01,16237,218004,50679,277,191,485,27,139158,1432,65,2,2,1,0,0,1,0,1
TCGA-NC-A5HI-01,8400,64798,101605,303,2,165,24,207300,906,34,6,5,0,0,0,0,0,0
TCGA-NC-A5HJ-01,4758,424,73150,233,89,693,15,185810,14508,14,1,1,0,0,1,0,0,0
TCGA-NC-A5HK-01,12152,184145,18988,105,845,265,11,58122,1054,19,4,2,1,0,478,0,0,76
TCGA-NC-A5HL-01,9286,65126,64634,145,204,194,9,147297,1430,44,9,1,0,0,0,0,0,0
TCGA-NC-A5HM-01,22695,65066,44839,122,2381,146,22,95648,1290,41,4,1,0,0,0,1,0,0
TCGA-NC-A5HN-01,16255,106972,49654,203,134,905,10,138407,323,33,2,0,0,0,0,1,1,0
TCGA-NC-A5HO-01,6309,98605,30225,213,16,63,3,105932,2515,19,4,2,0,0,0,0,0,0
TCGA-NC-A5HP-01,14354,69674,44113,144,24,439,3,126579,1184,39,521,23,0,0,1,0,0,0
TCGA-NC-A5HQ-01,10548,47216,30486,108,524,237,2,92616,2118,25,4,1,1,0,3,0,0,1
TCGA-NC-A5HR-01,8724,70424,82571,360,213,285,13,201233,2528,45,3,11,0,1,1,0,1,0
TCGA-NC-A5HT-01,6674,72913,194967,535,18,283,55,414491,2084,120,203,0,0,0,0,0,1,0
TCGA-NK-A5CR-01,11896,52894,245065,583,25,64,21,495449,1287,19,8,0,0,0,1,0,2,0
TCGA-NK-A5CT-01,11693,55382,45053,102,148,178,3,99288,3296,35,6,4,0,0,0,1,3,0
TCGA-NK-A5CX-01,11799,41133,36545,113,896,49,4,97947,1191,37,17,9,1,0,0,0,0,0
TCGA-NK-A5D1-01,21628,52954,129623,493,523,29,44,281924,6192,22,15,1,0,2,0,0,0,0
TCGA-NK-A7XE-01,5893,99583,32878,102,362,646,17,45299,3124,7,5,0,0,0,0,0,0,0
TCGA-O2-A52N-01,11718,132123,24842,124,1048,37,4,76996,1429,17,12,18,2,0,0,0,0,3
TCGA-O2-A52Q-01,11949,10264,24843,211,847,164,9,79602,1202,123,37,268,0,0,1,0,0,0
TCGA-O2-A52S-01,11146,22065,26223,70,3,60,19,39282,1552,53,1013,0,0,0,0,1,1,0
TCGA-O2-A52V-01,4823,56971,69011,202,63,1100,12,126264,1883,81,33,3,3,0,1,0,0,0
TCGA-O2-A52W-01,4809,65393,41735,145,98,589,13,95696,4144,10,2,9,0,0,1,0,1,0
TCGA-O2-A5IB-01,12972,803,236946,508,2,60,57,662884,698,23,2,1,1,5,0,0,0,0
TCGA-XC-AA0X-01,4751,41498,32772,86,92,722,10,53707,3121,18,35,0,1,0,0,0,0,0
