,CCNB1,ZWINT,PBK,KPNA2,HOXC13,RGCC,CDH5,ATAD2,HOXA10,PRKCE,DLC1,CLIC5,SLC39A8,AGER,ADGRF5,HECW2,TGFBR2,CACNA2D2,SUSD2,PREX2,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CLDN18,TSKU,GPD1L,SELENBP1,CITED2,PTPRM,RECK,C1orf116,RHOBTB2,ADH1B,SLC7A11,LRRK2,CXCL2,LAMP3,FOSB,CYP4B1,MFSD2A,PAX3,CD36,DDAH1,TPPP3,KCNQ5,HOPX,FOLR1,LEFTY2,RND1,NRGN,STEAP4,C16orf89,TBX18,ENPP4,AQP4,DUOX1,AKAP12,SFTPD,LPCAT1,C7,ULBP2,CSF3R,ALPL,NAPSA,CRTAC1,PIGR,MACROD2,ATP13A4,SERTM1,PRDM16,FLRT3,AGR3,SELE,SCGB1A1,C4BPA,SCGB3A1,SCNN1B,ROS1,PROK2,IL33,SLC22A31,DMBT1,GREM2,HOXA9,ELAVL2,SCGB3A2
TCGA-39-5031-01,4280,2230,1595,10015,753,2832,1378,3819,490,2673,1959,668,5123,1291,2676,575,3734,1568,2280,253,390,1553,4549,2563,183,1050,11471,2340,3731,2787,2420,695,2526,1915,1399,541,2979,2316,7998,14520,2405,2589,85,1398,2347,1965,449,9551,1303,81,1468,1735,4364,2084,293,1014,3722,3267,1344,7538,13651,5257,830,1242,3757,9579,2433,11645,1445,4736,6,242,2238,1260,403,907,5546,10811,1883,1926,27,2254,799,5858,91,57,128,7988
TCGA-39-5034-01,3870,2392,1534,10142,226,847,1184,8503,13,346,966,150,1558,29,1884,640,5348,460,1854,606,1026,4551,1805,3451,69,6,5478,1262,8022,2203,519,503,1129,1048,192,6820,289,54,933,1750,303,1095,1,341,7178,2840,73,1690,565,10,1311,142,358,3477,10,1805,13,54,1196,201,108869,1940,10,322,1680,3176,1468,11225,155,361,3,2624,582,1361,22,22,1408,24,1700,12,39,161,2473,685,19,2,44,83
TCGA-39-5035-01,4296,1194,1850,8295,1336,1351,702,3344,468,587,554,517,969,529,769,139,2208,58,906,54,99,2612,1396,2433,111,184,2523,850,744,4237,947,220,3235,524,283,59,1541,95,2001,1196,719,321,0,178,507,1613,570,1402,297,21,329,227,197,185,4,927,410,1253,440,668,4282,956,355,440,1162,797,77,1282,47,106,1,19,146,168,62,302,652,1222,328,220,3,1081,107,392,16,139,13,1771
TCGA-39-5036-01,3910,1586,1189,9068,50,698,276,1860,167,547,183,279,909,1282,605,149,1524,235,1150,10,87,752,899,701,44,579,14249,1067,1322,2530,132,123,1869,456,272,7324,527,418,5219,1197,767,536,12,434,667,540,526,2600,855,9,224,328,935,1496,84,573,1344,1473,113,2419,3737,546,765,426,1723,3605,634,3139,293,372,28,247,555,1073,8,1802,866,1014,1110,525,0,537,342,1069,1,9,5,11520
TCGA-39-5037-01,7185,3146,2918,16272,570,485,225,3667,1419,471,260,155,2139,479,595,148,492,287,415,33,119,1628,496,1459,123,403,6873,1509,963,446,218,459,848,352,23,12056,1765,2217,3513,482,27,1485,65,411,904,994,175,1815,564,0,1014,1363,630,720,926,444,1603,3043,108,3166,4083,120,369,387,2654,3127,480,1688,495,386,111,205,444,1480,52,191,1215,600,502,606,1,370,448,1643,9,73,1,7236
TCGA-39-5039-01,1357,1043,296,4140,195,1913,1559,1091,132,508,1607,345,8466,1269,4464,249,3678,1546,4039,183,1636,2505,3751,1981,97,1727,2926,1345,5491,3835,1432,325,2238,2618,1549,523,5850,1815,13002,1340,1316,4172,0,2140,2179,1216,107,9807,2971,8,2640,216,1182,5087,254,459,3452,4024,1532,15427,24882,17717,757,3602,13414,31447,5797,20092,2962,673,0,131,2145,1701,1899,319,12742,4611,4185,6556,2,2703,2178,35942,23,5,9,11485
TCGA-43-2576-01,1145,1263,182,4805,492,829,2984,895,54,332,892,189,1921,215,1723,322,3488,52,577,162,164,5427,3618,2191,55,17,3945,883,1089,1826,1836,397,1223,1656,95,194,215,167,229,1149,56,1018,0,1031,2396,457,30,4029,11361,7,2428,196,1465,125,135,491,10,366,557,589,17733,672,33,3273,187,4271,70,300,47,174,4,36,407,142,124,1,57,682,1435,466,2,528,1509,11,12,18,4,19
TCGA-43-2578-01,5611,3850,826,17718,335,2156,1791,4817,607,668,1973,1569,4626,3514,4543,643,4594,1797,4094,566,366,2104,2423,7822,241,2679,9917,1371,6132,2912,1215,493,2700,3228,1182,7722,6796,568,10535,2091,2894,4843,115,2000,1312,2224,748,3043,2147,33,572,1313,1972,2389,131,1539,5741,2863,973,11670,21331,1761,234,2222,8448,13720,1552,12536,846,1282,3,533,3192,1171,78,2091,10498,7519,1137,3378,2,760,1834,27229,80,214,5,1627
TCGA-43-2581-01,3207,2728,297,14460,2,1561,1605,3153,3,841,16506,313,13032,151,56443,2237,25467,191,2331,83,2120,2247,9056,6384,13686,46,763,2196,1448,22570,3451,338,3901,14241,110,1094,8475,9606,5876,6694,280,636,0,879,2776,1671,231,82375,342,29,631,700,2730,3042,13,2172,870,176,1111,1163,29171,1150,36,9295,830,47461,193,952,152,10952,0,87,2936,83,253,4,1103,249,227,10364,22,153,953,752,511,6,293,1649
TCGA-43-3394-01,4540,1949,815,16268,233,3046,851,3452,743,641,1047,348,2456,496,1910,377,2497,405,1197,135,180,1873,1338,3328,144,258,4154,1840,1480,2010,650,485,2680,773,511,2488,2347,2274,10468,2142,442,997,17,794,1846,2078,651,6653,1227,4,761,398,1482,2050,931,924,2933,3611,694,4099,7066,1654,656,912,1176,6658,1296,4049,333,539,11,203,1577,1582,257,1036,4910,692,1190,1602,39,994,510,1788,59,50,1,18715
